1F9A0	{ 🦠 }	細菌(sai3 kwan2), 病菌(beng6 kwan2), 菌(kwan2)
1F9EB	{ 🧫 }	培養皿(pui4 joeng5 ming5)
1F9EA	{ 🧪 }	試管(si3 gun2)
1F321	{ 🌡 }	溫度計(wan1 dou6 gai3), 探熱針(taam3 jit6 zam1)
1F9F9	{ 🧹 }	掃把(sou3 baa2), 掃帚(sou3 zau2)
1FAA0	{ 🪠 }	馬桶吸(maa5 tung2 kap1)
1F9FA	{ 🧺 }	籃(laam4; laam2), 竹籃(zuk1 laam4; zuk1 laam2)
1F9FB	{ 🧻 }	卷紙(gyun2 zi2), 紙卷(zi2 gyun2)
1F6BD	{ 🚽 }	馬桶(maa5 tung2), 廁所(ci3 so2), 衛生間(wai6 sang1 gaan1), 洗手間(sai2 sau2 gaan1)
1F6B0	{ 🚰 }	水龍頭(seoi2 lung4 tau4), 水喉(seoi2 hau4), 飲用水(jam2 jung6 seoi2)
1F6BF	{ 🚿 }	花灑(faa1 saa2), 蓮蓬頭(lin4 pung4 tau4), 沖涼(cung1 loeng4)
1F6C1	{ 🛁 }	浴缸(juk6 gong1), 浸浴缸(zam3 juk6 gong1)
1F6C0	{ 🛀 }	洗浴(sai2 juk6), 浸浴(zam3 juk6)
1F9FC	{ 🧼 }	香梘(hoeng1 gaan2), 梘(gaan2)
1FAA5	{ 🪥 }	牙刷(ngaa4 caat3; ngaa4 saat3), 牙擦(ngaa4 caat3)
1FA92	{ 🪒 }	鬚刨(sou1 paau2), 剃鬚刨(tai3 sou1 paau4), 剃鬚刀(tai3 sou1 dou1), 剃鬚(tai3 sou1)
1FAAE	{ 🪮 }	髮挑(faat3 tiu1), 梳(so1)
1F9FD	{ 🧽 }	海綿(hoi2 min4)
1FAA3	{ 🪣 }	膠桶(gaau1 tung2), 水桶(seoi2 tung2), 桶(tung2)
1F9F4	{ 🧴 }	乳液瓶(jyu5 jik6 ping4)
