U+1F469 U+200D U+2695 U+FE0F	{ 👩‍⚕️ }	[ 女醫護人員, 女醫護, 女醫生, 女護士 ]
U+1F9D1 U+200D U+2695 U+FE0F	{ 🧑‍⚕️ }	[ 醫護人員, 醫護, 醫生, 護士 ]
U+1F468 U+200D U+2695 U+FE0F	{ 👨‍⚕️ }	[ 男醫護人員, 男醫護, 男醫生, 男護士 ]
U+1F469 U+200D U+1F33E	{ 👩‍🌾 }	[ 女農民 ]
U+1F9D1 U+200D U+1F33E	{ 🧑‍🌾 }	[ 農民 ]
U+1F468 U+200D U+1F33E	{ 👨‍🌾 }	[ 男農民 ]
U+1F469 U+200D U+1F373	{ 👩‍🍳 }	[ 女廚師 ]
U+1F9D1 U+200D U+1F373	{ 🧑‍🍳 }	[ 廚師 ]
U+1F468 U+200D U+1F373	{ 👨‍🍳 }	[ 男廚師 ]
U+1F469 U+200D U+1F393	{ 👩‍🎓 }	[ 女學生 ]
U+1F9D1 U+200D U+1F393	{ 🧑‍🎓 }	[ 學生 ]
U+1F468 U+200D U+1F393	{ 👨‍🎓 }	[ 男學生 ]
U+1F469 U+200D U+1F3A4	{ 👩‍🎤 }	[ 女歌手, 女藝人 ]
U+1F9D1 U+200D U+1F3A4	{ 🧑‍🎤 }	[ 歌手, 藝人 ]
U+1F468 U+200D U+1F3A4	{ 👨‍🎤 }	[ 男歌手, 男藝人 ]
U+1F469 U+200D U+1F3EB	{ 👩‍🏫 }	[ 女教師, 女老師 ]
U+1F9D1 U+200D U+1F3EB	{ 🧑‍🏫 }	[ 教師, 老師 ]
U+1F468 U+200D U+1F3EB	{ 👨‍🏫 }	[ 男教師, 男老師 ]
U+1F469 U+200D U+1F3ED	{ 👩‍🏭 }	[ 女工人 ]
U+1F9D1 U+200D U+1F3ED	{ 🧑‍🏭 }	[ 工人 ]
U+1F468 U+200D U+1F3ED	{ 👨‍🏭 }	[ 男工人 ]
U+1F469 U+200D U+1F4BB	{ 👩‍💻 }	[ 女技術人員 ]
U+1F9D1 U+200D U+1F4BB	{ 🧑‍💻 }	[ 技術人員 ]
U+1F468 U+200D U+1F4BB	{ 👨‍💻 }	[ 男技術人員 ]
U+1F469 U+200D U+1F4BC	{ 👩‍💼 }	[ 女職員 ]
U+1F9D1 U+200D U+1F4BC	{ 🧑‍💼 }	[ 職員 ]
U+1F468 U+200D U+1F4BC	{ 👨‍💼 }	[ 男職員 ]
U+1F469 U+200D U+1F527	{ 👩‍🔧 }	[ 女技工, 女機械工, 女修理工 ]
