瓦肯舉手禮	ngaa5 hang2 geoi2 sau2 lai5
揮手	fai1 sau2
招呼	ziu1 fu1
打招呼	daa2 ziu1 fu1
你好	nei5 hou2
手勢六	sau2 sai3 luk6
六	luk6
打電話	daa2 din6 waa2
電聯	din6 lyun4
手向右	sau2 hoeng3 jau6
手向左	sau2 hoeng3 zo2
二頭肌	ji6 tau4 gei1
強壯	koeng4 zong3
肌肉	gei1 juk6
加油	gaa1 jau2
加油	gaa1 jau4
掙扎	zang1 zaat3
機械手臂	gei1 haai6 sau2 bei3
機械手	gei1 haai6 sau2
豎中指	syu6 zung1 zi2
中指	zung1 zi2
屌你	diu2 nei5
頂你個肺	ding2 nei5 go3 fai3
書寫	syu1 se2
寫字	se2 zi6
雙手合十	soeng1 sau2 hap6 sap6
祈禱	kei4 tou2
懇求	han2 kau4
唔該	m4 goi1
手指指	sau2 zi2 zi2
腳底	goek3 dai2
腳	goek3
機械腳	gei1 haai6 goek3
義肢	ji6 zi1
口紅	hau2 hung4
紅脣	hung4 seon4
脣	seon4
嘴脣	zeoi2 seon4
咬脣	ngaau5 seon4
牙齒	ngaa4 ci2
牙	ngaa4
齒	ci2
脷	lei6
舌	sit6
耳	ji5
耳仔	ji5 zai2
聽	ting3
聽	teng1
聽	ting1
助聽器	zo6 teng1 hei3
助聽器	zo6 ting3 hei3
助聽器	zo6 ting1 hei3
鼻	bei6
鼻哥	bei6 go1
腳印	goek3 jan3
足跡	zuk1 zik1
眼	ngaan5
眼睛	ngaan5 zing1
睇	tai2
𥄫	gap6
𥄫𥄫	gap6 gap6
眼望望	ngaan5 mong6 mong6
心臟	sam1 zong6
肺	fai3
肺部	fai3 bou6
大腦	daai6 nou5
腦部	nou5 bou6
演講	jin2 gong2
講話	gong2 waa6
一人	jat1 jan4
一個人	jat1 go3 jan4
兩人	loeng5 jan4
雙人	soeng1 jan4
兩個人	loeng5 go3 jan4
嬰兒	jing1 ji4
女童	neoi5 tung4
細路女	sai3 lou6 neoi2
女孩	neoi5 haai4
兒童	ji4 tung4
細路	sai3 lou6
男童	naam4 tung4
細路仔	sai3 lou6 zai2
男孩	naam4 haai4
女人	neoi5 jan4
女人	neoi5 jan2
成年人	sing4 nin4 jan4
男人	naam4 jan2
男人	naam4 jan4
捲髮女	gyun2 faat3 neoi5
捲髮人	gyun2 faat3 jan4
捲髮男	gyun2 faat3 naam4
紅髮女	hung4 faat3 neoi5
紅髮人	hung4 faat3 jan4
紅髮男	hung4 faat3 naam4
金髮女	gam1 faat3 neoi5
金髮人	gam1 faat3 jan4
金髮男	gam1 faat3 naam4
白髮女	baak6 faat3 neoi5
白髮人	baak6 faat3 jan4
白髮男	baak6 faat3 naam4
光頭女	gwong1 tau4 neoi5
女光頭	neoi5 gwong1 tau4
光頭人	gwong1 tau4 jan4
光頭	gwong1 tau4
光頭男	gwong1 tau4 naam4
光頭佬	gwong1 tau4 lou2
鬍鬚女	wu4 sou1 neoi5
鬍鬚人	wu4 sou1 jan4
鬍鬚	wu4 sou1
鬍鬚男	wu4 sou1 naam4
鬍鬚佬	wu4 sou1 lou2
老女人	lou5 neoi5 jan2
老婆婆	lou5 po4 po2
婆婆	po4 po2
婆婆	po4 po1
阿婆	aa3 po4
阿嫲	aa3 maa4
