96F6	{ 零 }	大寫〇(daai6 se2 ling4)
1D363	{ 𝍣 }	算籌四(syun3 cau4 sei3)
1D364	{ 𝍤 }	算籌五(syun3 cau4 ng5)
1D365	{ 𝍥 }	算籌六(syun3 cau4 luk6)
1D366	{ 𝍦 }	算籌七(syun3 cau4 cat1)
1D367	{ 𝍧 }	算籌八(syun3 cau4 baat3)
1D368	{ 𝍨 }	算籌九(syun3 cau4 gau2)
1D369	{ 𝍩 }	算籌一(syun3 cau4 jat1)
1D36A	{ 𝍪 }	算籌二(syun3 cau4 ji6)
1D36B	{ 𝍫 }	算籌三(syun3 cau4 saam1)
1D36C	{ 𝍬 }	算籌四(syun3 cau4 sei3)
1D36D	{ 𝍭 }	算籌五(syun3 cau4 ng5)
1D36E	{ 𝍮 }	算籌六(syun3 cau4 luk6)
1D36F	{ 𝍯 }	算籌七(syun3 cau4 cat1)
1D370	{ 𝍰 }	算籌八(syun3 cau4 baat3)
1D371	{ 𝍱 }	算籌九(syun3 cau4 gau2)
