鴉	aa1
玻璃樽	bo1 lei1 zeon1
玻利維亞	bo1 lei6 wai4 aa3
菠蘿	bo1 lo4
波浪	bo1 long6
波浪線	bo1 long6 sin3
博茨瓦納	bok3 ci4 ngaa5 naap6
搏擊	bok3 gik1
博奈爾	bok3 noi6 ji5
薄餅	bok6 beng2
鎊	bong6
保存	bou2 cyun4
保加利亞	bou2 gaa1 lei6 aa3
保齡球	bou2 ling4 kau4
報	bou3
報表	bou3 biu2
布基納法索	bou3 gei1 naap6 faat3 sok3
報刊	bou3 hon1
布隆迪	bou3 lung4 dik6
報紙	bou3 zi2
報紙卷	bou3 zi2 gyun2
報紙綑	bou3 zi2 kwan2
部分交替	bou6 fan6 gaau1 tai3
哺乳	bou6 jyu5
暴雨	bou6 jyu5
捕鼠器	bou6 syu2 hei3
杯茶	bui1 caa4
杯糕	bui1 gou1
杯式蛋糕	bui1 sik1 daan6 gou1
貝	bui3
背包	bui3 baau1
貝殼	bui3 hok3
貝寧	bui3 ning4
半月	bun3 jyut6
半獸人	bun3 sau3 jan4
捧	bung2
叉	caa1
叉號	caa1 hou6
叉乘	caa1 sing4
叉燒	caa1 siu1
叉燒包	caa1 siu1 baau1
叉選	caa1 syun2
茶	caa4
茶杯	caa4 bui1
茶壺	caa4 wu4
差人	caai1 jan4
差佬	caai1 lou2
差婆	caai1 po2
差婆	caai1 po4
踩單車	caai2 daan1 ce1
柴	caai4
柴木	caai4 muk6
鱡	caak6
參攷	caam1 haau2
參攷標記	caam1 haau2 biu1 gei3
參攷標誌	caam1 haau2 biu1 zi3
參攷記號	caam1 haau2 gei3 hou6
參攷號	caam1 haau2 hou6
慘	caam2
餐具	caan1 geoi6
剷	caan2
鏟	caan2
剷除	caan2 ceoi4
剷晒	caan2 saai3
殘月	caan4 jyut6
撐船	caang1 syun4
撐船男	caang1 syun4 naam4
撐船女	caang1 syun4 neoi5
撐艇	caang1 teng5
撐艇男	caang1 teng5 naam4
撐艇女	caang1 teng5 neoi5
撐艇仔	caang1 teng5 zai2
橙	caang2
橙色	caang2 sik1
橙	caang4
橙心	caang4 sam1
橙色	caang4 sik1
橙色大階磚	caang4 sik1 daai6 gaai1 zyun1
橙色大菱形	caang4 sik1 daai6 ling4 jing4
橙色愛心	caang4 sik1 oi3 sam1
橙色小階磚	caang4 sik1 siu2 gaai1 zyun1
橙色小菱形	caang4 sik1 siu2 ling4 jing4
橙色書本	caang4 sik1 syu1 bun2
橙書	caang4 syu1
橙子	caang4 zi2
插頭	caap3 tau2
插頭	caap3 tau4
巢	caau4
測體溫	cak1 tai2 wan1
親吻	can1 man5
親吻人	can1 man5 jan4
親吻男	can1 man5 naam4
親吻女	can1 man5 neoi5
診斷	can2 dyun6
襯衣	can3 ji1
襯衫	can3 saam1
七	cat1
七次方	cat1 ci3 fong1
七點	cat1 dim2
七點半	cat1 dim2 bun3
七點正	cat1 dim2 zing3
七點鐘	cat1 dim2 zung1
七分之一	cat1 fan6 zi1 jat1
七鍵	cat1 gin6
七萬	cat1 maan6
七星瓢蟲	cat1 sing1 piu4 cung4
七索	cat1 sok3
七筒	cat1 tung4
七夕	cat1 zik6
七夕樹	cat1 zik6 syu6
七夕節	cat1 zik6 zit3
秋	cau1
丑角	cau2 gok3
溴化氫	cau3 faa3 hing1
臭鼬	cau3 jau6
車	ce1
車厘子	ce1 lei4 zi2
車輪	ce1 leon4
車轆	ce1 luk1
車呔	ce1 taai1
車胎	ce1 toi1
車站	ce1 zaam6
斜玉旁	ce4 juk6 pong4
邪惡	ce4 ok3
尺	cek3
赤	cek3
赤道幾內亞	cek3 dou6 gei2 noi6 aa3
赤色	cek3 sik1
青	ceng1
青菜	ceng1 coi3
青花菜	ceng1 faa1 coi3
青瓜	ceng1 gwaa1
青檸	ceng1 ning4
青檸檬	ceng1 ning4 mung1
青蘋果	ceng1 ping4 gwo2
青色	ceng1 sik1
青蛙	ceng1 waa1
清酒	ceng1 zau2
請	ceng2
請求	ceng2 kau4
吹	ceoi1
吹風	ceoi1 fung1
吹氣	ceoi1 hei3
取款機	ceoi2 fun2 gei1
錘	ceoi4
除	ceoi4
隨機	ceoi4 gei1
除號	ceoi4 hou6
除以	ceoi4 ji5
廚師	ceoi4 si1
春	ceon1
膥	ceon1
循環	ceon4 waan4
出醜	ceot1 cau2
出糗	ceot1 cau3
出租車	ceot1 zou1 ce1
鴟鴞	ci1 hiu1
豕	ci2
齒	ci2
齒輪	ci2 leon4
廁	ci3
翅	ci3
翅膀	ci3 bong2
刺身	ci3 san1
廁所	ci3 so2
刺蝟	ci3 wai6
匙羹	ci4 gang1
磁懸浮列車	ci4 jyun4 fau4 lit6 ce1
磁石	ci4 sek6
磁鐵	ci4 tit3
暹羅	cim3 lo4
潛水	cim4 seoi2
潛水鏡	cim4 seoi2 geng3
千分	cin1 fan6
千分號	cin1 fan6 hou6
千里達及多巴哥	cin1 lei5 daat6 kap6 do1 baa1 go1
錢	cin2
淺膚色	cin2 fu1 sik1
淺藍愛心	cin2 laam4 oi3 sam1
淺藍心	cin2 laam4 sam1
淺藍色愛心	cin2 laam4 sik1 oi3 sam1
錢迷	cin2 mai4
錢銀	cin2 ngan2
淺色膚色	cin2 sik1 fu1 sik1
淺色皮膚	cin2 sik1 pei4 fu1
錢	cin4
錢包	cin4 baau1
錢幣	cin4 bai6
錢財	cin4 coi4
錢袋	cin4 doi2
錢袋	cin4 doi6
錢夾	cin4 gaap3
錢銀	cin4 ngan4
前進	cin4 zeon3
青	cing1
清除	cing1 ceoi4
青菜	cing1 coi3
青瓜	cing1 gwaa1
清空	cing1 hung1
清涼	cing1 loeng4
青檸	cing1 ning4
青檸檬	cing1 ning4 mung1
青蘋果	cing1 ping4 gwo2
青色	cing1 sik1
青天白日	cing1 tin1 baak6 jat6
青天白日滿地紅	cing1 tin1 baak6 jat6 mun5 dei6 hung4
青蛙	cing1 waa1
稱讚	cing1 zaan3
清真寺	cing1 zan1 zi2
清真寺	cing1 zan1 zi6
清酒	cing1 zau2
請	cing2
請求	cing2 kau4
秤	cing3
稱心	cing3 sam1
稱心合意	cing3 sam1 hap6 ji3
稱心滿意	cing3 sam1 mun5 ji3
晴	cing4
晴日	cing4 jat6
情侶	cing4 leoi5
情侶旅館	cing4 leoi5 leoi5 gun2
晴朗	cing4 long5
情信	cing4 seon3
情書	cing4 syu1
晴天	cing4 tin1
程序員	cing4 zeoi6 jyun4
超級英雄	ciu1 kap1 jing1 hung4
超級市場	ciu1 kap1 si5 coeng4
超市	ciu1 si5
昭和	ciu1 wo4
朝	ciu4
朝鮮	ciu4 sin1
初學者	co1 hok6 ze2
錯	co3
