鴉	aa1
起火	hei2 fo2
喜歡	hei2 fun1
喜歡你	hei2 fun1 nei5
戲	hei3
汽車	hei3 ce1
戲法	hei3 faat3
戲法男	hei3 faat3 naam4
戲法女	hei3 faat3 neoi5
氣憤	hei3 fan5
戲院	hei3 jyun2
氣球	hei3 kau4
氣泡	hei3 paau1
氣泡	hei3 pou5
戲耍	hei3 saa2
汽水	hei3 seoi2
氣旋	hei3 syun4
喫飯	hek3 faan6
喫驚	hek3 geng1
喫麪	hek3 min6
噓	heoi1
虛缺	heoi1 kyut3
虛僞	heoi1 ngai6
許可	heoi2 ho2
許願樹	heoi2 jyun6 syu6
險	him2
牽手	hin1 sau2
䘆	hin2
顯微鏡	hin2 mei4 geng3
顯示器	hin2 si6 hei3
顯示屏	hin2 si6 ping4
氫氟酸	hing1 fat1 syun1
輕軌	hing1 gwai2
輕軌電車	hing1 gwai2 din6 ce1
氫氣	hing1 hei3
氫氧化亞鐵	hing1 joeng5 faa3 aa3 tit3
氫氧化鋇	hing1 joeng5 faa3 bui3
氫氧化鈣	hing1 joeng5 faa3 gaap3
氫氧化鉀	hing1 joeng5 faa3 gaap3
氫氧化鋰	hing1 joeng5 faa3 lei5
氫氧化鋁	hing1 joeng5 faa3 leoi5
氫氧化鎂	hing1 joeng5 faa3 mei5
氫氧化鈉	hing1 joeng5 faa3 naap6
氫氧化銨	hing1 joeng5 faa3 on2
氫氧化鐵	hing1 joeng5 faa3 tit3
氫氧化銅	hing1 joeng5 faa3 tung4
慶典	hing3 din2
慶祝	hing3 zuk1
協	hip3
蠍	hit3
蠍子	hit3 zi2
囂	hiu1
梟	hiu1
鴞	hiu1
囂張	hiu1 zoeng1
可	ho2
可可愛愛	ho2 ho2 oi3 oi3
可以	ho2 ji5
可憐	ho2 lin4
可樂	ho2 lok6
可愛	ho2 oi3
可惜	ho2 sik1
可惜貓	ho2 sik1 maau1
可回收	ho2 wui4 sau1
荷	ho4
荷蘭	ho4 laan1
河馬	ho4 maa5
荷屬聖馬丁	ho4 suk6 sing3 maa5 ding1
河豚	ho4 tyun4
賀禮	ho6 lai5
靴	hoe1
香檳	hoeng1 ban1
香梘	hoeng1 gaan2
香港	hoeng1 gong2
香菇	hoeng1 gu1
香瓜	hoeng1 gwaa1
香菸	hoeng1 jin1
香鍋	hoeng1 wo1
香蕉	hoeng1 ziu1
響鈴	hoeng2 ling4
享受	hoeng2 sau6
向前刪	hoeng3 cin4 saan1
向前刪除	hoeng3 cin4 saan1 ceoi4
向前跳	hoeng3 cin4 tiu3
向下	hoeng3 haa6
向下箭頭	hoeng3 haa6 zin3 tau4
向後刪	hoeng3 hau6 saan1
向後刪除	hoeng3 hau6 saan1 ceoi4
向後跳	hoeng3 hau6 tiu3
向日葵	hoeng3 jat6 kwai4
向右	hoeng3 jau6
向右刪	hoeng3 jau6 saan1
向右刪除	hoeng3 jau6 saan1 ceoi4
向右推	hoeng3 jau6 teoi1
向右回轉	hoeng3 jau6 wui4 zyun2
向右箭頭	hoeng3 jau6 zin3 tau4
向上	hoeng3 soeng6
向上箭頭	hoeng3 soeng6 zin3 tau4
向左	hoeng3 zo2
向左刪	hoeng3 zo2 saan1
向左刪除	hoeng3 zo2 saan1 ceoi4
向左推	hoeng3 zo2 teoi1
向左回轉	hoeng3 zo2 wui4 zyun2
向左箭頭	hoeng3 zo2 zin3 tau4
開波	hoi1 bo1
開始播放	hoi1 ci2 bo3 fong3
開始暫停	hoi1 ci2 zaam6 ting4
開槍	hoi1 coeng1
開發者	hoi1 faat3 ze2
開香檳	hoi1 hoeng1 ban1
開引號	hoi1 jan5 hou6
開啓箭頭	hoi1 kai2 zin3 tau4
開曼	hoi1 maan6
開曼羣島	hoi1 maan6 kwan4 dou2
開眼𡃶	hoi1 ngaan5 sek3
開心	hoi1 sam1
開鎖	hoi1 so2
開懷大笑	hoi1 waai4 daai6 siu3
海貝	hoi2 bui3
海地	hoi2 dei6
海島	hoi2 dou2
海盜	hoi2 dou6
海盜旗	hoi2 dou6 kei4
海關	hoi2 gwaan1
海龜	hoi2 gwai1
海狸	hoi2 lei4
海螺	hoi2 lo4
海浪	hoi2 long6
海綿	hoi2 min4
海豹	hoi2 paau3
海灘	hoi2 taan1
海豚	hoi2 tyun4
海蜇	hoi2 zit3
孩童	hoi4 tung4
孩子	hoi4 zi2
殼	hok3
學校	hok6 haau6
學生	hok6 saang1
學士帽	hok6 si6 mou6
漢堡	hon3 bou2
漢堡包	hon3 bou2 baau1
韓	hon4
韓幣	hon4 bai6
韓國	hon4 gwok3
韓元	hon4 jyun4
旱菸	hon5 jin1
汗顏	hon6 ngaan4
筐	hong1
航天員	hong4 tin1 jyun4
項	hong6
褐	hot3
褐心	hot3 sam1
褐色	hot3 sik1
褐色愛心	hot3 sik1 oi3 sam1
好	hou2
好抵力	hou2 dai2 lik6
好凍	hou2 dung3
好勁	hou2 ging6
好攰	hou2 gui6
好癐	hou2 gui6
好恨	hou2 han6
好開心	hou2 hoi1 sam1
好好喫	hou2 hou2 jaak3
好好味	hou2 hou2 mei6
好好食	hou2 hou2 sik6
好喫	hou2 jaak3
好嘢	hou2 je5
好熱	hou2 jit6
好掯	hou2 kang3
好冷	hou2 laang5
好辣	hou2 laat6
好冧	hou2 lam1
好叻	hou2 lek1
好美味	hou2 mei5 mei6
好味	hou2 mei6
好嬲	hou2 nau1
好惱	hou2 nau1
好噁心	hou2 ok3 sam1
好食	hou2 sik6
好笑	hou2 siu3
好玩	hou2 waan2
好核突	hou2 wat6 dat6
好奇	hou3 kei4
耗盡	hou3 zeon6
蠔	hou4
號角	hou6 gok3
哭	huk1
哭哭	huk1 huk1
哭泣	huk1 jap1
哭笑	huk1 siu3
哭笑不得	huk1 siu3 bat1 dak1
空	hung1
空白	hung1 baak6
空罐	hung1 gun3
箜篌	hung1 hau4
空缺	hung1 kyut3
匈牙利	hung1 ngaa4 lei6
空瓶	hung1 ping4
空集	hung1 zaap6
空樽	hung1 zeon1
恐怖	hung2 bou3
恐懼	hung2 geoi6
恐懼貓	hung2 geoi6 maau1
恐龍	hung2 lung4
孔雀	hung2 zoek2
孔雀	hung2 zoek3
孔雀開屏	hung2 zoek3 hoi1 ping4
控制	hung3 zai3
控制旋鈕	hung3 zai3 syun4 nau2
熊	hung4
紅	hung4
虹	hung4
紅包	hung4 baau1
紅菜頭	hung4 coi3 tau4
紅豆	hung4 dau2
紅豆	hung4 dau6
洪都拉斯	hung4 dou1 laai1 si1
紅髮	hung4 faat3
紅髮妹	hung4 faat3 mui1
紅髮男	hung4 faat3 naam4
紅髮女	hung4 faat3 neoi5
紅髮女郎	hung4 faat3 neoi5 long4
雄雞	hung4 gai1
紅䘆	hung4 hin2
紅䘆	hung4 hyun2
紅葉	hung4 jip6
紅辣椒	hung4 laat6 ziu1
紅蘿蔔	hung4 lo4 baak6
紅綠燈	hung4 luk6 dang1
熊貓	hung4 maau1
熊貓頭	hung4 maau1 tau4
紅毛猩猩	hung4 mou4 sing1 sing1
紅蘋果	hung4 ping4 gwo2
紅三角	hung4 saam1 gok3
紅心	hung4 sam1
紅脣	hung4 seon4
紅色	hung4 sik1
紅色下三角	hung4 sik1 haa6 saam1 gok3
紅色愛心	hung4 sik1 oi3 sam1
紅色三角	hung4 sik1 saam1 gok3
紅色上三角	hung4 sik1 soeng6 saam1 gok3
紅色書本	hung4 sik1 syu1 bun2
紅猩猩	hung4 sing1 sing1
紅書	hung4 syu1
紅薯	hung4 syu4
熊頭	hung4 tau4
紅酒	hung4 zau2
紅椒	hung4 ziu1
紅中	hung4 zung1
圈	hyun1
圈餅	hyun1 beng2
䘆	hyun2
犬	hyun2
犬字邊	hyun2 zi6 bin1
犬字旁	hyun2 zi6 pong4
血滴	hyut3 dik1
血液型號	hyut3 jik6 jing4 hou6
血型	hyut3 jing4
也門	jaa5 mun4
廿	jaa6
廿八	jaa6 baat3
廿七	jaa6 cat1
廿九	jaa6 gau2
廿一	jaa6 jat1
廿二	jaa6 ji6
廿六	jaa6 luk6
廿五	jaa6 ng5
廿三	jaa6 saam1
廿四	jaa6 sei3
踩單車	jaai2 daan1 ce1
喫飯	jaak3 faan6
曳曳	jai1 jai1
陰	jam1
陰暗	jam1 am3
音符	jam1 fu4
陰去	jam1 heoi3
陰險	jam1 him2
陰入	jam1 jap6
陰陽	jam1 joeng4
音樂	jam1 ngok6
音樂鍵盤	jam1 ngok6 gin6 pun2
陰平	jam1 ping4
陰溼	jam1 sap1
陰上	jam1 soeng5
飲	jam2
飲品	jam2 ban2
飲杯	jam2 bui1
飲茶	jam2 caa4
飲咖啡	jam2 gaa3 fe1
飲管	jam2 gun2
飲用水	jam2 jung6 seoi2
飲料	jam2 liu2
飲料	jam2 liu6
飲奶	jam2 naai5
飲勝	jam2 sing3
飲筒	jam2 tung2
飲酒	jam2 zau2
飲牛奶	jam3 ngau4 naai5
妊娠	jam6 san1
妊娠人士	jam6 san1 jan4 si6
妊娠男	jam6 san1 naam4
因爲	jan1 wai6
因住	jan1 zyu6
隱秘	jan2 bei3
忍淚	jan2 leoi6
忍受	jan2 sau6
隱私	jan2 si1
忍者	jan2 ze2
印	jan3
印表機	jan3 biu2 gei1
印度	jan3 dou6
印度廟	jan3 dou6 miu6
印度尼西亞	jan3 dou6 nei4 sai1 aa3
印尼	jan3 nei4
人魚	jan4 jyu4
人民幣	jan4 man4 bai6
人面鴞	jan4 min6 hiu1
人字邊	jan4 zi6 bin1
人字旁	jan4 zi6 pong4
人字梯	jan4 zi6 tai1
人字拖	jan4 zi6 to1
人造衛星	jan4 zou6 wai6 sing1
孕婦	jan6 fu5
邑部	jap1 bou6
熠熠星光	jap1 jap1 sing1 gwong1
邑字邊	jap1 zi6 bin1
邑字旁	jap1 zi6 pong4
入場券	jap6 coeng4 gyun3
入場券	jap6 coeng4 hyun3
入電話	jap6 din6 waa2
入油	jap6 jau2
一	jat1
一百	jat1 baak3
一百分	jat1 baak3 fan1
一次方	jat1 ci3 fong1
一啖菸	jat1 daam6 jin1
一點	jat1 dim2
一點半	jat1 dim2 bun3
一點正	jat1 dim2 zing3
一點鐘	jat1 dim2 zung1
一涿屎	jat1 duk1 si2
一家三口	jat1 gaa1 saam1 hau2
一家四口	jat1 gaa1 sei3 hau2
一階導	jat1 gaai1 dou6
一階導數	jat1 gaai1 dou6 sou3
一鍵	jat1 gin6
一個人	jat1 go3 jan4
一口菸	jat1 hau2 jin1
一人	jat1 jan4
一氧化氮	jat1 joeng5 faa3 daam6
一氧化二氫	jat1 joeng5 faa3 ji6 hing1
一氧化碳	jat1 joeng5 faa3 taan3
一語中的	jat1 jyu5 zung3 dik1
一拳	jat1 kyun4
一萬	jat1 maan6
一索	jat1 sok3
一頭霧水	jat1 tau4 mou6 seoi2
一條蟲	jat1 tiu4 cung4
一筒	jat1 tung4
一畫	jat1 waak6
一鑊熟	jat1 wok6 suk6
一支菸	jat1 zi1 jin1
一箭穿心	jat1 zin3 cyun1 sam1
日	jat6
日本	jat6 bun2
日本白花	jat6 bun2 baak6 faa1
日本清酒	jat6 bun2 cing1 zau2
日本地圖	jat6 bun2 dei6 tou4
日本服務標誌	jat6 bun2 fuk6 mou6 biu1 zi3
日本交叉旗	jat6 bun2 gaau1 caa1 kei4
日本建築	jat6 bun2 gin3 zuk1
日本國	jat6 bun2 gwok3
日本郵局	jat6 bun2 jau4 guk2
日本郵局	jat6 bun2 jau4 guk6
日本交叉旗	jat6 bun2 kaau1 caa1 kei4
日本女兒節	jat6 bun2 neoi5 ji4 zit3
日本年號	jat6 bun2 nin4 hou6
日本神社	jat6 bun2 san4 se5
日本城堡	jat6 bun2 sing4 bou2
日本糰子	jat6 bun2 tyun4 zi2
日出	jat6 ceot1
日語此處	jat6 jyu5 ci2 cyu3
日元	jat6 jyun4
日曆	jat6 lik6
日落	jat6 lok6
日文此處	jat6 man2 ci2 cyu3
日文此處	jat6 man4 ci2 cyu3
日暮	jat6 mou6
日式便當	jat6 sik1 bin6 dong3
日式建築	jat6 sik1 gin3 zuk1
日式郵局	jat6 sik1 jau4 guk2
日式郵局	jat6 sik1 jau4 guk6
日式城堡	jat6 sik1 sing4 bou2
休	jau1
優	jau1
休閒車	jau1 haan4 ce1
蚯蚓	jau1 jan5
休旅車	jau1 leoi5 ce1
憂慮	jau1 leoi6
幽靈	jau1 ling4
憂傷	jau1 soeng1
憂鬱	jau1 wat1
幼	jau3
幼苗	jau3 miu4
幼芽	jau3 ngaa4
游	jau4
魷	jau4
油泵	jau4 bam1
油燈	jau4 dang1
油橄欖	jau4 gam2 laam5
郵件	jau4 gin2
郵件	jau4 gin6
油角	jau4 gok3
郵局	jau4 guk2
郵局	jau4 guk6
遊戲牌	jau4 hei3 paai4
遊戲手柄	jau4 hei3 sau2 beng3
魷魚	jau4 jyu4
郵輪	jau4 leon4
遊樂場	jau4 lok6 coeng4
遊樂園	jau4 lok6 jyun4
游水	jau4 seoi2
游水男	jau4 seoi2 naam4
游水女	jau4 seoi2 neoi5
郵箱	jau4 soeng1
猶太	jau4 taai3
猶太教	jau4 taai3 gaau3
猶太教堂	jau4 taai3 gaau3 tong2
猶太教堂	jau4 taai3 gaau3 tong4
猶太燭檯	jau4 taai3 zuk1 toi4
油桶	jau4 tung2
郵筒	jau4 tung2
游泳	jau4 wing6
游泳圈	jau4 wing6 hyun1
游泳男	jau4 wing6 naam4
游泳女	jau4 wing6 neoi5
油炸蝦	jau4 zaa3 haa1
油炸圈	jau4 zaa3 hyun1
油站	jau4 zaam6
郵政號角	jau4 zing3 hou6 gok3
有	jau5
有請	jau5 ceng2
有請	jau5 cing2
有毒	jau5 duk6
有軌電車	jau5 gwai2 din6 ce1
有型	jau5 jing4
有理數	jau5 lei5 sou3
有力	jau5 lik6
有來信	jau5 loi4 seon3
右	jau6
右包左	jau6 baau1 zo2
右包左結構	jau6 baau1 zo2 git3 gau3
右包左結構	jau6 baau1 zo2 git3 kau3
右邊	jau6 bin1
右邊	jau6 bin6
右單引號	jau6 daan1 jan5 hou6
右下	jau6 haa6
右下包左上	jau6 haa6 baau1 zo2 soeng6
右下包左上結構	jau6 haa6 baau1 zo2 soeng6 git3 gau3
右下包左上結構	jau6 haa6 baau1 zo2 soeng6 git3 kau3
右下環繞	jau6 haa6 waan4 jiu2
右下箭頭	jau6 haa6 zin3 tau4
右引號	jau6 jan5 hou6
右耳邊	jau6 ji5 bin1
右耳旁	jau6 ji5 pong4
右拳	jau6 kyun4
右面	jau6 min6
右雙引號	jau6 soeng1 jan5 hou6
右上	jau6 soeng6
右上包左下	jau6 soeng6 baau1 zo2 haa6
右上包左下結構	jau6 soeng6 baau1 zo2 haa6 git3 gau3
右上包左下結構	jau6 soeng6 baau1 zo2 haa6 git3 kau3
右上環繞	jau6 soeng6 waan4 jiu2
右上箭頭	jau6 soeng6 zin3 tau4
右指	jau6 zi2
右箭頭	jau6 zin3 tau4
㖿	je1
椰	je4
椰青	je4 ceng1
椰青	je4 cing1
椰菜花	je4 coi3 faa1
爺爺	je4 je2
爺爺	je4 je4
椰樹	je4 syu6
椰子	je4 zi2
椰子樹	je4 zi2 syu6
野營	je5 jing4
野鹿	je5 luk2
野鹿	je5 luk6
野牛	je5 ngau4
野豬	je5 zyu1
野豬頭	je5 zyu1 tau4
夜	je6
夜橋	je6 kiu4
夜晚	je6 maan5
夜晚黑	je6 maan5 hak1
衣服	ji1 fuk6
醫院	ji1 jyun2
伊拉克	ji1 laai1 hak1
醫療車	ji1 liu4 ce1
伊朗	ji1 long5
醫生	ji1 sang1
伊斯蘭	ji1 si1 laan4
伊斯蘭教	ji1 si1 laan4 gaau3
伊斯蘭教堂	ji1 si1 laan4 gaau3 tong2
伊斯蘭教堂	ji1 si1 laan4 gaau3 tong4
衣裳	ji1 soeng4
醫護	ji1 wu6
醫護人員	ji1 wu6 jan4 jyun4
衣字邊	ji1 zi6 bin1
衣字旁	ji1 zi6 pong4
意	ji3
意大利	ji3 daai6 lei6
意大利薄餅	ji3 daai6 lei6 bok6 beng2
意大利粉	ji3 daai6 lei6 fan2
意大利餡餅	ji3 daai6 lei6 haam6 beng2
意大利麪	ji3 daai6 lei6 min6
意大利手勢	ji3 daai6 lei6 sau2 sai3
意粉	ji3 fan2
意麪	ji3 min6
移動電話	ji4 dung6 din6 waa2
疑問	ji4 man6
兒童	ji4 tung4
兒童不宜	ji4 tung4 bat1 ji4
疑惑	ji4 waak6
耳	ji5
耳朵	ji5 do2
耳朵	ji5 doe2
耳機	ji5 gei1
耳聾	ji5 lung4
耳聾男	ji5 lung4 naam4
耳聾女	ji5 lung4 neoi5
以色列	ji5 sik1 lit6
耳仔	ji5 zai2
耳仔邊	ji5 zai2 bin1
二	ji6
二次方	ji6 ci3 fong1
二次方根	ji6 ci3 fong1 gan1
二次根	ji6 ci3 gan1
二次根號	ji6 ci3 gan1 hou6
二重積分	ji6 cung4 zik1 fan1
二分之一	ji6 fan6 zi1 jat1
二階導	ji6 gaai1 dou6
二階導數	ji6 gaai1 dou6 sou3
二鍵	ji6 gin6
二氧化氮	ji6 joeng5 faa3 daam6
二氧化硅	ji6 joeng5 faa3 gwai1
二氧化氫	ji6 joeng5 faa3 hing1
二氧化硫	ji6 joeng5 faa3 lau4
二氧化錳	ji6 joeng5 faa3 maang5
三氧化二鐵	ji6 joeng5 faa3 saam1 tit3
二氧化碳	ji6 joeng5 faa3 taan3
二萬	ji6 maan6
二十	ji6 sap6
二十八	ji6 sap6 baat3
二十七	ji6 sap6 cat1
二十九	ji6 sap6 gau2
二十一	ji6 sap6 jat1
二十二	ji6 sap6 ji6
二十六	ji6 sap6 luk6
二十五	ji6 sap6 ng5
二十三	ji6 sap6 saam1
二十四	ji6 sap6 sei3
二師兄	ji6 si1 hing1
二索	ji6 sok3
二頭肌	ji6 tau4 gei1
二筒	ji6 tung4
異或	ji6 waak6
義肢	ji6 zi1
翼	jik6
液滴	jik6 dik1
逆時針	jik6 si4 zam1
逆時針方向	jik6 si4 zam1 fong1 hoeng3
逆時針箭頭	jik6 si4 zam1 zin3 tau4
閹牛	jim1 ngau4
厭倦	jim3 gyun6
鹽	jim4
嚴禁	jim4 gam3
嚴禁抌垃圾	jim4 gam3 dam2 laap6 saap3
嚴禁吸菸	jim4 gam3 kap1 jin1
嚴禁亂拋垃圾	jim4 gam3 lyun6 paau1 laap6 saap3
嫌棄	jim4 hei3
鹽酸	jim4 syun1
鹽樽	jim4 zeon1
菸	jin1
煙花	jin1 faa1
煙肉	jin1 juk6
演講	jin2 gong2
㬫	jin3
曣	jin3
燕	jin3
燕尾服	jin3 mei5 fuk6
燕尾服男	jin3 mei5 fuk6 naam4
燕尾服女	jin3 mei5 fuk6 neoi5
燕子	jin3 zi2
弦月	jin4 jyut6
燃燒	jin4 siu1
言字邊	jin4 zi6 bin1
言字旁	jin4 zi6 pong4
嬰	jing1
櫻	jing1
英	jing1
鷹	jing1
鸚	jing1
英鎊	jing1 bong6
櫻花	jing1 faa1
英格蘭	jing1 gaak3 laan4
英吉利	jing1 gat1 lei6
英國	jing1 gwok3
英雄	jing1 hung4
嬰兒	jing1 ji4
嬰兒天使	jing1 ji4 tin1 si3
英文鍵盤	jing1 man2 gin6 pun2
英文輸入	jing1 man2 syu1 jap6
鸚鵡	jing1 mou5
英屬處女羣島	jing1 suk6 cyu2 neoi5 kwan4 dou2
英屬印度洋領地	jing1 suk6 jan3 dou6 joeng4 ling5 dei6
英屬維京羣島	jing1 suk6 wai4 ging1 kwan4 dou2
櫻桃	jing1 tou4
鷹嘴豆餅	jing1 zeoi2 dau2 beng2
影相	jing2 soeng2
影相機	jing2 soeng2 gei1
影相	jing2 soeng3
影相機	jing2 soeng3 gei1
型	jing4
營	jing4
蠅	jing4
盈凸月	jing4 dat6 jyut6
熱	jit6
熱情	jit6 cing4
熱帶魚	jit6 daai3 jyu4
熱咖啡	jit6 gaa3 fe1
熱狗	jit6 gau2
熱香餅	jit6 hoeng1 beng2
熱飲	jit6 jam2
熱辣	jit6 laat6
熱心	jit6 sam1
熱死	jit6 sei2
日頭	jit6 tau2
日頭	jit6 tau4
鷂	jiu2
搖滾手勢	jiu4 gwan2 sau2 sai3
搖頭	jiu4 tau4
鷂	jiu6
約旦	joek3 daan3
約等	joek3 dang2
約等號	joek3 dang2 hou6
約等於	joek3 dang2 jyu1
約等如	joek3 dang2 jyu4
藥	joek6
藥草	joek6 cou2
若有所思	joek6 jau5 so2 si1
藥丸	joek6 jyun2
藥水膠布	joek6 seoi2 gaau1 bou3
央求	joeng1 kau4
羊	joeng4
洋蔥	joeng4 cung1
洋菇	joeng4 gu1
陽光	joeng4 gwong1
陽去	joeng4 heoi3
陽入	joeng4 jap6
陽平	joeng4 ping4
揚手	joeng4 sau2
揚聲器	joeng4 sing1 hei3
陽上	joeng4 soeng5
羊駝	joeng4 to4
洋芋	joeng4 wu6
氧化亞鐵	joeng5 faa3 aa3 tit3
氧化亞銅	joeng5 faa3 aa3 tung4
氧化鋇	joeng5 faa3 bui3
氧化鉀	joeng5 faa3 gaap3
氧化鉛	joeng5 faa3 jyun4
氧化鋁	joeng5 faa3 leoi5
氧化鎂	joeng5 faa3 mei5
氧化鈉	joeng5 faa3 naap6
氧化銀	joeng5 faa3 ngan4
氧化鐵	joeng5 faa3 tit3
氧化銅	joeng5 faa3 tung4
氧氣	joeng5 hei3
肉	juk6
玉部	juk6 bou6
浴缸	juk6 gong1
肉骨	juk6 gwat1
玉米	juk6 mai5
玉米粉蒸肉	juk6 mai5 fan2 zing1 juk6
玉兔	juk6 tou3
玉字邊	juk6 zi6 bin1
玉字旁	juk6 zi6 pong4
玉足	juk6 zuk1
擁抱	jung2 pou5
熔化	jung4 faa3
融化	jung4 faa3
用餐	jung6 caan1
用膳	jung6 sin6
漁	jyu4
魚	jyu4
魚板	jyu4 baan2
魚餅	jyu4 beng2
如廁	jyu4 ci3
蠕蟲	jyu4 cung4
魚人	jyu4 jan4
魚類	jyu4 leoi6
魚生	jyu4 saang1
魚仔	jyu4 zai2
羽	jyu5
雨	jyu5
雨具	jyu5 geoi6
宇航員	jyu5 hong4 jyun4
乳液瓶	jyu5 jik6 ping4
語言	jyu5 jin4
乳酪	jyu5 lok3
羽毛	jyu5 mou4
羽毛球	jyu5 mou4 kau4
雨傘	jyu5 saan3
語塞	jyu5 sak1
雨水	jyu5 seoi2
雨雪	jyu5 syut3
鳶尾	jyun1 mei5
鳶尾花	jyun1 mei5 faa1
圓	jyun4
鉛筆	jyun4 bat1
完全同意	jyun4 cyun4 tung4 ji3
完全正確	jyun4 cyun4 zing3 kok3
懸浮	jyun4 fau4
懸浮列車	jyun4 fau4 lit6 ce1
圓角矩形	jyun4 gok3 geoi2 jing4
員工	jyun4 gung1
圓圈	jyun4 hyun1
圓形	jyun4 jing4
完美	jyun4 mei5
玄鳥	jyun4 niu5
眩暈	jyun4 wan4
圓周率	jyun4 zau1 leot2
圓周率	jyun4 zau1 leot6
原子	jyun4 zi2
原子筆	jyun4 zi2 bat1
原子符號	jyun4 zi2 fu4 hou6
原子能	jyun4 zi2 nang4
圓珠筆	jyun4 zyu1 bat1
遠大於	jyun5 daai6 jyu1
軟碟	jyun5 dip2
軟盤	jyun5 pun2
遠小於	jyun5 siu2 jyu1
眩暈	jyun6 wan4
乙烷	jyut3 jyun4
乙炔	jyut3 kyut3
乙醇	jyut3 seon4
乙酸	jyut3 syun1
月	jyut6
月餅	jyut6 beng2
閱讀	jyut6 duk6
月黑風高	jyut6 hak1 fung1 gou1
越野車	jyut6 je5 ce1
閱覽	jyut6 laam5
月亮	jyut6 loeng6
越南	jyut6 naam4
月牙	jyut6 ngaa4
月兔	jyut6 tou3
卡	kaa1
卡片索引	kaa1 pin2 saak3 jan5
卡塔爾	kaa1 taap3 ji5
卡	kaat1
卡片索引	kaat1 pin2 saak3 jan5
咭片索引	kaat1 pin2 saak3 jan5
交叉	kaau1 caa1
交叉旗	kaau1 caa1 kei4
交叉手指	kaau1 caa1 sau2 zi2
啓用箭頭	kai2 jung6 zin3 tau4
𢫏	kam2
琴	kam4
琴鍵	kam4 gin6
蠄蟧	kam4 lou2
蠄蟧	kam4 lou4
蠄蟧網	kam4 lou4 mong5
蠄蟧絲網	kam4 lou4 si1 mong1
掯	kang3
吸管	kap1 gun2
吸血鬼	kap1 hyut3 gwai2
吸菸	kap1 jin1
購物	kau3 mat6
購物車	kau3 mat6 ce1
購物袋	kau3 mat6 doi2
釦針	kau3 zam1
求導	kau4 dou6
求救	kau4 gau3
球鞋	kau4 haai4
球門	kau4 mun4
求和	kau4 wo4
求和符號	kau4 wo4 fu4 hou6
求積	kau4 zik1
求積符號	kau4 zik1 fu4 hou6
茄	ke2
茄瓜	ke2 gwaa1
茄子	ke2 zi2
騎行	ke4 hang4
騎馬	ke4 maa5
騎行	kei4 hang4
奇異果	kei4 ji6 gwo2
祈禱	kei4 tou2
企	kei5
企人邊	kei5 jan2 bin1
企人邊	kei5 jan4 bin1
企人旁	kei5 jan4 pong4
企鵝頭	kei5 ngo2 tau4
企鵝	kei5 ngo4
拒馬	keoi5 maa5
拒絕	keoi5 zyut6
乾	kin4
乾卦	kin4 gwaa3
傾倒	king1 dou2
傾偈	king1 gai2
傾計	king1 gai2
鯨	king4
鯨魚	king4 jyu4
蠍	kit3
蠍子	kit3 zi2
轎車	kiu2 ce1
橋	kiu4
喬木	kiu4 muk6
繑絲邊	kiu5 si1 bin1
強有力	koeng4 jau5 lik6
強壯	koeng4 zong3
蓋飯	koi3 faan6
抗拒	kong3 keoi5
繪畫	kui2 waa2
繪畫	kui3 waa6
繪畫	kui3 waak6
曲別針	kuk1 bit6 zam1
曲棍球	kuk1 gwan3 kau4
曲奇	kuk1 kei4
蛐蛐	kuk1 kuk1
曲譜	kuk1 pou2
跨性別	kwaa1 sing3 bit6
跨性別旗	kwaa1 sing3 bit6 kei4
挎包	kwaa3 baau1
筐	kwaang1
盔	kwai1
窺	kwai1
虧凸月	kwai1 dat6 jyut6
窺視	kwai1 si6
葵花	kwai4 faa1
葵扇	kwai4 sin3
坤	kwan1
坤卦	kwan1 gwaa3
菌	kwan2
睏	kwan3
睏覺	kwan3 gaau3
困擾	kwan3 jiu5
裙	kwan4
擴音器	kwok3 jam1 hei3
擴音器	kwong3 jam1 hei3
拳	kyun4
拳擊	kyun4 gik1
拳頭	kyun4 tau4
噘嘴	kyut3 zeoi2
噘嘴男	kyut3 zeoi2 naam4
噘嘴女	kyut3 zeoi2 neoi5
缺字	kyut3 zi6
啦啦隊	laa1 laa1 deoi2
喇叭	laa3 baa1
拉丁十字	laai1 ding1 sap6 zi6
拉拉	laai1 laai1
拉鍊	laai1 lin2
拉脫維亞	laai1 tyut3 wai4 aa3
籃	laam4
藍	laam4
藍啤梨	laam4 be1 lei2
藍草莓	laam4 cou2 mui4
籃筐	laam4 hong1
籃球	laam4 kau4
籃球男	laam4 kau4 naam4
籃球女	laam4 kau4 neoi5
籃筐	laam4 kwaang1
藍莓	laam4 mui4
藍心	laam4 sam1
藍色	laam4 sik1
藍色大階磚	laam4 sik1 daai6 gaai1 zyun1
藍色大菱形	laam4 sik1 daai6 ling4 jing4
藍色愛心	laam4 sik1 oi3 sam1
藍色小階磚	laam4 sik1 siu2 gaai1 zyun1
藍色小菱形	laam4 sik1 siu2 ling4 jing4
藍色書本	laam4 sik1 syu1 bun2
藍書	laam4 syu1
攬攬	laam5 laam5
纜車	laam6 ce1
讕叻	laan2 lek1
蘭	laan4
冷	laang5
冷飲	laang5 jam2
冷漠	laang5 mok6
蠟筆	laap6 bat1
垃圾	laap6 saap3
垃圾籃	laap6 saap3 laam1
垃圾籃	laap6 saap3 laam4
垃圾簍	laap6 saap3 lau4
垃圾箱	laap6 saap3 soeng1
